ra,dec,image
327.85445833333335,67.5,rs930526n00.public_contents
340.7126804166666,67.5,rs930527n00.public_contents
353.57088875,67.5,rs930528n00.public_contents
5.454208333333332,61.875,rs930601n00.public_contents
16.362611249999997,61.875,rs930602n00.public_contents
27.27102791666666,61.875,rs930603n00.public_contents
38.17943041666666,61.875,rs930604n00.public_contents
49.08784708333333,61.875,rs930605n00.public_contents
59.99999999999999,61.875,rs930606n00.public_contents
70.90840291666666,61.875,rs930607n00.public_contents
81.81681958333333,61.875,rs930608n00.public_contents
92.72522208333332,61.875,rs930609n00.public_contents
103.63363875,61.875,rs930610n00.public_contents
114.54204166666665,61.875,rs930611n00.public_contents
125.45420833333331,61.875,rs930612n00.public_contents
136.36261125,61.875,rs930613n00.public_contents
147.27102791666664,61.875,rs930614n00.public_contents
158.17943041666663,61.875,rs930615n00.public_contents
169.08784708333332,61.875,rs930616n00.public_contents
179.99999999999997,61.875,rs930617n00.public_contents
190.90840291666666,61.875,rs930618n00.public_contents
201.8168195833333,61.875,rs930619n00.public_contents
212.7252220833333,61.875,rs930620n00.public_contents
223.63363875,61.875,rs930621n00.public_contents
234.54204166666662,61.875,rs930622n00.public_contents
245.4542083333333,61.875,rs930623n00.public_contents
256.36261124999993,61.875,rs930624n00.public_contents
267.27102791666664,61.875,rs930625n00.public_contents
278.17943041666666,61.875,rs930626n00.public_contents
289.0878470833333,61.875,rs930627n00.public_contents
299.99999999999994,61.875,rs930628n00.public_contents
310.9084029166666,61.875,rs930629n00.public_contents
321.81681958333326,61.875,rs930630n00.public_contents
332.72522208333334,61.875,rs930631n00.public_contents
343.63363874999993,61.875,rs930632n00.public_contents
354.5420416666666,61.875,rs930633n00.public_contents
4.612791666666666,56.25,rs930701n00.public_contents
13.845861249999999,56.25,rs930702n00.public_contents
23.07519458333333,56.25,rs930703n00.public_contents
32.30451375,56.25,rs930704n00.public_contents
41.537597083333324,56.25,rs930705n00.public_contents
50.76691666666666,56.25,rs930706n00.public_contents
59.99999999999999,56.25,rs930707n00.public_contents
69.22933333333332,56.25,rs930708n00.public_contents
78.45865291666667,56.25,rs930709n00.public_contents
87.69173624999999,56.25,rs930710n00.public_contents
96.92105541666666,56.25,rs930711n00.public_contents
106.15038874999999,56.25,rs930712n00.public_contents
115.38345833333332,56.25,rs930713n00.public_contents
124.61279166666665,56.25,rs930714n00.public_contents
133.84586124999996,56.25,rs930715n00.public_contents
143.0751945833333,56.25,rs930716n00.public_contents
152.30451374999998,56.25,rs930717n00.public_contents
161.53759708333334,56.25,rs930718n00.public_contents
170.76691666666665,56.25,rs930719n00.public_contents
179.99999999999997,56.25,rs930720n00.public_contents
189.22933333333333,56.25,rs930721n00.public_contents
198.45865291666664,56.25,rs930722n00.public_contents
207.69173625,56.25,rs930723n00.public_contents
216.92105541666663,56.25,rs930724n00.public_contents
226.15038874999996,56.25,rs930725n00.public_contents
235.3834583333333,56.25,rs930726n00.public_contents
244.61279166666665,56.25,rs930727n00.public_contents
253.84586125,56.25,rs930728n00.public_contents
263.0751945833333,56.25,rs930729n00.public_contents
272.30451374999996,56.25,rs930730n00.public_contents
281.5375970833333,56.25,rs930731n00.public_contents
290.76691666666665,56.25,rs930732n00.public_contents
299.99999999999994,56.25,rs930733n00.public_contents
309.22933333333333,56.25,rs930734n00.public_contents
318.4586529166666,56.25,rs930735n00.public_contents
327.69173624999996,56.25,rs930736n00.public_contents
